# Radial distribution function (50 data points):
# "Pair separation distance" g(r)
0.1 0.0 
0.3 0.0 
0.5 0.0 
0.7 0.0 
0.9 0.0 
1.1 0.0 
1.3 0.0 
1.5 0.0 
1.7 0.0097175367 
1.9 0.0 
2.1 0.0477803351 
2.3 0.5497506663 
2.5 1.3151308004 
2.7 1.9429388465 
2.9 1.8563960062 
3.1 1.2649308031 
3.3 0.8556130454 
3.5 0.5977342447 
3.7 0.4732780986 
3.9 0.425991768 
4.1 0.5275944257 
4.3 0.5822885285 
4.5 0.7822617008 
4.7 0.8532812355 
4.9 0.9068253051 
5.1 0.89006609 
5.3 0.8662005557 
5.5 0.82062006 
5.7 0.7428492542 
5.9 0.677192464 
6.1 0.6263406742 
6.3 0.5811867065 
6.5 0.5882283439 
6.7 0.6331752938 
6.9 0.6587121071 
7.1 0.664512708 
7.3 0.6816230791 
7.5 0.7024853084 
7.7 0.6349351481 
7.9 0.6437385376 
8.1 0.6069866442 
8.3 0.5984936228 
8.5 0.5613226828 
8.7 0.5441700706 
8.9 0.5483840981 
9.1 0.5522153311 
9.3 0.5636650621 
9.5 0.546412966 
9.7 0.5348707331 
9.9 0.5448899484 
